,Brand,Model,Price,Location,Year,Engine_Liter,Car_Age
1,Toyota,Land Cruiser Prado,8900000,Алматы,2004,4.0,21
2,Toyota,Land Cruiser,20500000,Алматы,2011,5.7,14
3,Toyota,4Runner,14500000,Алматы,2015,4.0,10
4,Toyota,Land Cruiser Prado,14500000,Алматы,2008,4.0,17
5,Toyota,Land Cruiser Prado,11900000,Алматы,2009,2.7,16
6,Toyota,Camry,8500000,Алматы,2012,2.5,13
7,Toyota,Land Cruiser Prado,10300000,Алматы,2006,2.7,19
8,Toyota,Land Cruiser Prado,9900000,Алматы,2004,4.0,21
9,Toyota,Land Cruiser Prado,7900000,Алматы,2004,4.0,21
10,Toyota,Land Cruiser Prado,7900000,Алматы,2003,2.7,22
11,Toyota,Land Cruiser Prado,9900000,Алматы,2005,4.0,20
12,Toyota,Carina E,1500000,Талдыкорган,1993,1.6,32
13,Toyota,Land Cruiser Prado,10500000,Алматы,2004,4.0,21
14,Toyota,Corolla Comfort CVT,13890000,Астана,2025,1.6,0
15,Toyota,Land Cruiser Prado,10800000,Алматы,2009,2.7,16
16,Toyota,Land Cruiser Prado,15600000,Алматы,2013,2.7,12
17,Toyota,Land Cruiser,7500000,Алматы,2001,4.2,24
18,Toyota,Camry,7000000,Актау,2012,2.5,13
19,Toyota,Land Cruiser Prado,15000000,Алматы,2011,2.7,14
20,Toyota,Corolla,8800000,Актобе,2019,1.6,6
21,Toyota,Camry,10800000,Уральск,2015,2.5,10
22,Toyota,Aristo,7000000,Павлодар,1999,3.0,26
23,Toyota,Yaris,4000000,Актобе,2007,1.3,18
24,Toyota,Land Cruiser,18000000,Тараз,2010,4.7,15
25,Toyota,Camry,20500000,Алматы,2024,2.5,1
26,Toyota,Camry,5000000,Тараз,2010,2.5,15
27,Toyota,Land Cruiser Prado,15000000,Алматы,2012,2.7,13
28,Toyota,Land Cruiser,16400000,Алматы,2011,4.6,14
29,Toyota,Ipsum,3300000,Алматы,1997,2.0,28
30,Toyota,Land Cruiser,19900000,Караганда,2012,4.6,13
31,Toyota,Avalon,6600000,Алматы,2006,3.5,19
32,Toyota,Land Cruiser,7800999,Ерейментау,2000,4.7,25
33,Toyota,Camry,8000000,Кульсары,2012,2.5,13
34,Toyota,Camry,13500000,Астана,2022,2.5,3
35,Toyota,Camry,6500000,Павлодар,2008,2.4,17
36,Toyota,Corolla,1200000,Караганда,1993,1.3,32
37,Toyota,Camry,19300000,Шымкент,2024,2.5,1
38,Toyota,Caldina,3980000,Усть-Каменогорск,1998,2.0,27
39,Toyota,Camry,7000000,Актау,2016,2.5,9
40,Toyota,Sienna,19500000,Шымкент,2018,3.5,7
41,Toyota,Sienna,21000000,Актобе,2021,2.5,4
42,Toyota,Camry,17300000,Алматы,2023,2.5,2
43,Toyota,Corolla,5000000,Астана,2010,1.8,15
44,Toyota,Land Cruiser Prado,9700000,Алматы,2001,3.0,24
45,Toyota,Camry Gracia,3600000,Алматы,1999,2.2,26
46,Toyota,Highlander,5500000,Кызылорда,2002,3.0,23
47,Toyota,Camry,9100000,Алматы,2013,2.5,12
48,Toyota,4Runner,14990000,Актобе,2018,4.0,7
49,Toyota,Land Cruiser Prado,13800000,Уральск,2008,2.7,17
50,Toyota,RAV4,2690000,Алматы,1994,2.0,31
51,Toyota,Camry,19350000,Алматы,2024,2.0,1
52,Toyota,Highlander,6100000,Алматы,2001,3.0,24
53,Toyota,Avensis,3800000,Шымкент,2004,1.8,21
54,Toyota,Camry,8900000,Алматы,2010,2.5,15
55,Toyota,Land Cruiser Prado,17000000,Алматы,2015,2.7,10
56,Toyota,Hilux,4000000,Актау,2004,2.8,21
57,Toyota,Town Ace Noah,5000000,Костанай,1998,2.0,27
58,Toyota,Camry,6000000,Уральск,2007,2.4,18
59,Toyota,Camry,5500000,Актобе,2014,2.5,11
60,Toyota,Corolla Style,13190000,Алматы,2024,1.6,1
61,Toyota,Camry Prestige,22290000,Астана,2025,2.5,0
62,Toyota,Hiace,14000000,Актобе,2011,2.7,14
63,Toyota,Camry Luxe,8000000,Алматы,2022,2.5,3
64,Toyota,Land Cruiser,39200000,Астана,2021,4.0,4
65,Toyota,Land Cruiser Prado Comfort+,29300000,Алматы,2020,4.0,5
66,Toyota,Land Cruiser Prado,12500000,Алматы,2005,3.0,20
67,Toyota,Previa,2200000,Алматы,1992,2.4,33
68,Toyota,Avensis,3300000,Усть-Каменогорск,2005,1.8,20
69,Toyota,Camry,5200000,Шымкент,2013,2.5,12
70,Toyota,Land Cruiser,20000000,Туркестан,2012,4.6,13
71,Toyota,Corolla,8500000,Алматы,2018,1.6,7
72,Toyota,Alphard,63000000,Астана,2024,2.5,1
73,Toyota,Land Cruiser Prado,17500000,Актобе,2014,2.7,11
74,Toyota,Yaris,1650000,Семей,2000,1.3,25
75,Toyota,Carina E,1540000,Алматы,1992,2.0,33
76,Toyota,Camry,23999999,Алматы,2024,2.5,1
77,Toyota,Camry,4900000,Астана,2003,2.4,22
78,Toyota,Camry,20300000,Шымкент,2023,2.5,2
79,Toyota,RAV4,13800000,Атырау,2021,2.5,4
80,Toyota,Land Cruiser Prado,17550000,Астана,2014,2.7,11
81,Toyota,RAV4,16300000,Астана,2021,2.0,4
82,Toyota,Estima Lucida,1900000,Петропавловск,1996,2.2,29
83,Toyota,4Runner,29000000,Жанаозен,2022,4.0,3
84,Toyota,Land Cruiser Prado,20000000,Тараз,2017,2.7,8
85,Toyota,Camry,6300000,Шымкент,2007,2.4,18
86,Toyota,Camry,5200000,Шымкент,2008,2.4,17
87,Toyota,Fortuner,11800000,Темиртау,2014,2.7,11
88,Toyota,Avensis,3200000,Алматы,1997,1.8,28
89,Toyota,Camry,7600000,Аксай,2014,2.5,11
90,Toyota,Land Cruiser,15000000,Актобе,2009,4.7,16
91,Toyota,Land Cruiser Prado,5200000,Павлодар,1997,3.0,28
92,Toyota,Land Cruiser Prado,34500000,Алматы,2024,2.7,1
93,Toyota,Corolla,14000000,Алматы,2024,1.6,1
94,Toyota,Land Cruiser Prado,11000000,Усть-Каменогорск,2006,2.7,19
95,Toyota,Carina,2200000,Шымкент,1994,1.6,31
96,Toyota,RAV4,8000000,Кызылорда,2012,2.4,13
97,Toyota,Corolla,6600000,Кокшетау,2014,1.6,11
98,Toyota,Highlander,7300000,Талдыкорган,2003,3.0,22
99,Toyota,Sienna,11700000,Атырау,2015,3.5,10
100,Toyota,RAV4,10800000,Алматы,2013,2.5,12
101,Toyota,Camry,6700000,Уральск,2011,2.5,14
102,Toyota,Land Cruiser,26000000,Алматы,2014,4.6,11
103,Toyota,Camry,4500000,Талдыкорган,2006,2.4,19
104,Toyota,Ipsum,3000000,Семей,1997,2.0,28
105,Toyota,Land Cruiser,18500000,Караганда,2011,4.7,14
